epoch,lr,stage,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,teacher_conf,agreement
13,0.04824441214720629,projection,0,2.2033235204315185,2.2033235204315185,0.0,0.0,33.8,2.8408860397338866,0.0,8.564546765952274,0.9294316542559657,0.04059118634611123,0.5647472991510425,0.8503741822431764
14,0.04794386564209953,projection,0,2.205515856552124,2.205515856552124,0.0,0.0,33.25,2.8527906776428225,0.0,8.618782355867584,0.922652205516552,0.04030023067407553,0.5641328534659218,0.8496214692549937
15,0.04762067631165049,projection,0,2.203873483352661,2.203873483352661,0.0,0.0,33.83,2.84460698928833,0.0,9.021552151647107,0.8723059810441116,0.03953774853197714,0.5645488374830817,0.8503086075301061
16,0.047275163104709195,joint,0,2.6013837257385255,2.6013837257385255,0.0,0.0,9.52,5.268935618972779,0.6,8.442310037284061,0.9447112453394924,0.04076699218482811,0.5639620169882884,0.8081925506024714
17,0.04690766700109659,joint,0,3.0577984281921387,3.0577984281921387,0.0,0.0,23.11,3.3752362426757814,0.6,8.379310320163595,0.9525862099795506,0.040516898452789225,0.5638484661384007,0.753294189262878
18,0.046518550675098594,joint,1,2.0442537689208984,2.8787376246643066,0.07561061968803406,1.209769915008545,31.75,2.9231301795959475,0.6,8.379310311942264,0.952586211007217,0.040476288534309304,0.5637257078953106,0.7860272700524391
19,0.04610819813755038,joint,1,1.9332793034362794,2.7700314847564695,0.06853294524669647,1.0965271239471435,32.11,2.9060815773010256,0.6,8.379310311942264,0.952586211007217,0.04051123956813381,0.5640504794276279,0.7980154522544588
20,0.04567701435686405,joint,1,1.8792682818603517,2.708672220611572,0.06561652155160903,1.0498643448257445,27.81,3.073946387863159,0.6,8.379310311942264,0.952586211007217,0.040594976443214345,0.5644513290480274,0.8049073480736569
21,0.04522542485937369,joint,1,1.844189840965271,2.6676386430358887,0.06379631479263306,1.020741036682129,33.16,2.8659732429504396,0.6,8.379310328384925,0.9525862089518844,0.040676333369124136,0.5641698795739952,0.8090783826377995
22,0.04475387530939226,joint,1,1.8174248930740355,2.632967370300293,0.06261765081882477,1.0018824131011963,33.06,2.8422814697265624,0.6,8.379310295499604,0.9525862130625495,0.04074908166499926,0.5641170498126608,0.8125995291620874
23,0.044262831069394735,joint,1,1.7995980401229859,2.6114642169952393,0.06173324162483215,0.9877318659973144,35.22,2.745801695251465,0.6,8.379310295499604,0.9525862130625495,0.0407944398442453,0.5642342992755763,0.8142504004566261
24,0.043752776740761494,joint,1,1.78201174118042,2.5901421968078613,0.060867580041885375,0.973881280670166,26.88,3.241917100906372,0.6,8.379310303720935,0.9525862120348831,0.04085776937636536,0.563985037719807,0.8171132934062987
25,0.04322421568553529,joint,1,1.7691184269714355,2.5721603105926514,0.06037978399991989,0.9660765439987182,33.88,2.8334561630249024,0.6,8.379310311942264,0.952586211007217,0.04084221544183208,0.5642817857320351,0.8184592101122717
26,0.04267766952966369,joint,1,1.7607757681274414,2.5631359010314942,0.059900977058410645,0.9584156329345703,33.46,2.8602971969604494,0.6,8.379310295499604,0.9525862130625495,0.04084455542441297,0.5640116431142973,0.8197153794491078
27,0.04211367764821722,joint,1,1.7478813129425048,2.545122985076904,0.05941497736930847,0.9506396379089356,32.22,2.899379491043091,0.6,8.379310287278274,0.9525862140902157,0.04076150364191669,0.564236906864454,0.8214563206790964
28,0.0415327966330913,joint,1,1.737891300354004,2.5325496084594725,0.058952062158584596,0.9432329945373535,33.27,2.840408972358704,0.6,8.379310311942264,0.952586211007217,0.0406933714834837,0.5646514889910398,0.8227018574467095
29,0.040935599743717244,joint,1,1.7324251205444336,2.5268113999176025,0.05862742757797241,0.9380388412475585,32.46,2.8983527896881105,0.6,8.379310311942264,0.952586211007217,0.04053054344422752,0.5641699928761749,0.8237180434681876
