epoch,lr,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity
64,0.015071302734130482,1.1588058555603027,1.8936292008209228,0.026498906869888306,0.4239825099182129,47.77,2.205952215576172,0.5998883928571429
65,0.014355517710873185,1.1495539890289306,1.8792274892425538,0.026242530512809753,0.41988048820495605,49.21,2.120856902694702,0.5998883928571429
66,0.013650237506511332,1.1453305493545531,1.872591389694214,0.026129357039928438,0.418069712638855,48.07,2.1759673023223876,0.5998883928571429
67,0.012956158147457115,1.135797777557373,1.8593281296539306,0.025766714148521424,0.4122674263763428,48.95,2.126791376876831,0.5998883928571429
68,0.012273964606240717,1.1305916841506958,1.8505072410583496,0.025667258081436158,0.41067612930297853,49.2,2.1558980247497557,0.5998883928571429
69,0.01160433012552508,1.123084497051239,1.8398585415267945,0.02539440348625183,0.4063104557800293,48.03,2.17933401184082,0.5998883928571429
70,0.010947915553696733,1.115539160232544,1.8281889088058472,0.025180588129758836,0.4028894100761414,49.18,2.128613008117676,0.5998883928571429
71,0.010305368692688175,1.1078820526504516,1.8171109659576417,0.024915821138620377,0.39865313821792603,49.03,2.1455099138259888,0.5998883928571429
72,0.009677323658675586,1.1035055449485778,1.8111176841735839,0.024743337714076042,0.3958934034252167,49.9,2.11882809677124,0.5998883928571429
73,0.009064400256282757,1.0939347960662842,1.7954455223464967,0.024526504380106926,0.3924240700817108,49.79,2.1039661151885984,0.5998883928571429
74,0.008467203366908708,1.088006413383484,1.7859726630401611,0.024377510204315184,0.39004016326904295,51.01,2.0680633358001708,0.5998883928571429
75,0.007886322351782783,1.0793622914505006,1.7744589046478272,0.02401660501599312,0.3842656802558899,50.62,2.063006351470947,0.5998883928571429
76,0.0073223304703363135,1.0701636678695678,1.7577583717346192,0.023910560307502746,0.38256896492004394,50.99,2.047844246673584,0.5998883928571429
77,0.006775784314464717,1.0625153394317628,1.7471297220993043,0.023618809988498687,0.377900959815979,50.66,2.0587674922943116,0.5998883928571429
78,0.0062472232592385105,1.056294999847412,1.7367401944732666,0.02349061258852482,0.3758498014163971,52.0,1.993596117401123,0.5998883928571429
79,0.005737168930605272,1.0464622052383423,1.7223421653366089,0.02316139046907425,0.370582247505188,51.04,2.0533830009460448,0.5998883928571429
80,0.00524612469060774,1.0408428893661499,1.713248419189453,0.023027334904670717,0.36843735847473147,52.13,2.011830464553833,0.5998883928571429
81,0.004774575140626317,1.031477106742859,1.6982479695892334,0.022794140385985373,0.36470624617576597,52.02,1.993034589767456,0.5998883928571429
82,0.004322985643135957,1.025297967453003,1.6895057541275025,0.02256813599586487,0.3610901759338379,52.5,1.9648161388397216,0.5998883928571429
83,0.003891801862449629,1.01685511177063,1.675599083175659,0.022381946380138396,0.35811114208221434,53.1,1.958981530380249,0.5998883928571429
84,0.0034814493249014063,1.0100002522659302,1.6647870887756349,0.022200838459730147,0.35521341535568235,53.44,1.939611452102661,0.5998883928571429
85,0.0030923329989034107,1.0032947806930541,1.6536023329162597,0.02206170185625553,0.3529872297000885,52.9,1.953676364517212,0.5998883928571429
86,0.0027248368952908055,0.9959644388580322,1.6424215367507935,0.021844208958148956,0.3495073433303833,53.71,1.9295345520019531,0.5998883928571429
87,0.0023793236883495163,0.9902598669433593,1.6324866005325318,0.021752070779800414,0.3480331324768066,53.64,1.9305488838195801,0.5998883928571429
88,0.0020561343579004773,0.9837723547363281,1.6232574126434327,0.02151795599102974,0.34428729585647583,54.19,1.9165804626464844,0.5998883928571429
89,0.0017555878527937164,0.9765726630020142,1.6103685715103149,0.02142354714989662,0.34277675439834593,54.06,1.9055826866149903,0.5998883928571429
90,0.0014779807761443637,0.9710980347824096,1.601937462310791,0.021266162819862367,0.3402586051177979,54.65,1.8933206375122071,0.5998883928571429
91,0.0012235870926211618,0.9658208512306213,1.5928283711624145,0.021175833223462105,0.3388133315753937,54.59,1.8898465293884277,0.5998883928571429
92,0.0009926578580764262,0.9606211712646484,1.5851993816757202,0.021002685095071794,0.3360429615211487,54.94,1.8813180038452149,0.5998883928571429
93,0.0007854209717842259,0.9553564488601685,1.5764905973434449,0.02088889401614666,0.33422230425834654,54.63,1.8777322242736816,0.5998883928571429
94,0.0006020809515313169,0.9485790691947937,1.565911152229309,0.020702936609387396,0.33124698575019834,55.1,1.871900687789917,0.5998883928571429
95,0.000442818731782782,0.944022573890686,1.558101298904419,0.020621490675807,0.329943850812912,55.24,1.8640274841308593,0.5998883928571429
96,0.00030779148512155856,0.9391309421157837,1.5515460007858277,0.0204197427213192,0.3267158835411072,55.0,1.8612289058685303,0.5998883928571429
97,0.0001971324671380559,0.9342720184326172,1.5431242728042602,0.020338735336065294,0.3254197653770447,55.31,1.860956453704834,0.5998883928571429
98,0.0001109508849230001,0.9267606452178955,1.5303955448150635,0.020195359112024306,0.3231257457923889,55.31,1.8461105659484864,0.5998883928571429
99,4.933178929321103e-05,0.924054216003418,1.5267768985748291,0.020083220714330673,0.3213315314292908,55.35,1.8482286262512206,0.5998883928571429
100,1.233599085671e-05,0.9176589025688171,1.5172065858459474,0.019881951143741607,0.3181112182998657,55.56,1.844207783126831,0.5998883928571429
